"","bResult","blueTop"
"1",1,"Dyrus"
"2",0,"Cris"
"3",1,"Flaresz"
"4",0,"Rhux"
"5",1,"Benny"
"6",0,"Gamsu"
"7",1,"Cris"
"8",1,"Quas"
"9",0,"Balls"
"10",1,"CaliTrlolz8"
"11",1,"Hauntzer"
"12",1,"CaliTrlolz8"
"13",1,"Balls"
"14",0,"Impact"
"15",1,"Dyrus"
"16",1,"ZionSpartan"
"17",0,"Gamsu"
"18",1,"Dyrus"
"19",1,"Impact"
"20",0,"Cris"
"21",0,"Hauntzer"
"22",1,"Balls"
"23",0,"Gamsu"
"24",1,"Quas"
"25",0,"Avalon"
"26",1,"Balls"
"27",1,"ZionSpartan"
"28",0,"Quas"
"29",1,"CaliTrlolz8"
"30",1,"Dyrus"
"31",0,"Cris"
"32",1,"Avalon"
"33",0,"Gamsu"
"34",0,"CaliTrlolz8"
"35",0,"Hauntzer"
"36",1,"Avalon"
"37",1,"Impact"
"38",0,"ZionSpartan"
"39",1,"Hauntzer"
"40",1,"Gamsu"
"41",0,"Quas"
"42",0,"CaliTrlolz8"
"43",1,"Balls"
"44",0,"Gamsu"
"45",1,"Dyrus"
"46",1,"Balls"
"47",1,"Quas"
"48",0,"Avalon"
"49",0,"Cris"
"50",1,"Impact"
"51",0,"Cris"
"52",1,"CaliTrlolz8"
"53",1,"Quas"
"54",1,"Dyrus"
"55",1,"ZionSpartan"
"56",1,"Hauntzer"
"57",1,"Balls"
"58",1,"Impact"
"59",0,"ZionSpartan"
"60",1,"CaliTrlolz8"
"61",1,"Gamsu"
"62",0,"Hauntzer"
"63",0,"Avalon"
"64",1,"Impact"
"65",0,"Quas"
"66",1,"Balls"
"67",1,"Dyrus"
"68",0,"Quas"
"69",1,"Hauntzer"
"70",1,"ZionSpartan"
"71",0,"Cris"
"72",0,"Quas"
"73",0,"Dyrus"
"74",1,"ZionSpartan"
"75",0,"Avalon"
"76",0,"Gamsu"
"77",1,"Dyrus"
"78",1,"CaliTrlolz8"
"79",1,"Impact"
"80",0,"Cris"
"81",0,"Hauntzer"
"82",0,"CaliTrlolz8"
"83",1,"Avalon"
"84",0,"Cris"
"85",0,"Impact"
"86",1,"Avalon"
"87",1,"Balls"
"88",0,"Gamsu"
"89",1,"Hauntzer"
"90",0,"ZionSpartan"
"91",0,"CaliTrlolz8"
"92",1,"Balls"
"93",1,"Balls"
"94",0,"Seraph"
"95",1,"ZionSpartan"
"96",0,"CaliTrlolz8"
"97",0,"Hauntzer"
"98",1,"Quas"
"99",1,"Gamsu"
"100",0,"Impact"
"101",1,"Dyrus"
"102",0,"Seraph"
"103",0,"Flaresz"
"104",0,"Balls"
"105",1,"Dyrus"
"106",0,"CaliTrlolz8"
"107",1,"Gamsu"
"108",0,"Balls"
"109",0,"Quas"
"110",0,"ZionSpartan"
"111",0,"Seraph"
"112",0,"CaliTrlolz8"
"113",0,"Flaresz"
"114",0,"Dyrus"
"115",1,"Quas"
"116",1,"Impact"
"117",0,"Hauntzer"
"118",1,"Balls"
"119",1,"Dyrus"
"120",0,"Impact"
"121",0,"Gamsu"
"122",1,"ZionSpartan"
"123",1,"Gamsu"
"124",0,"Seraph"
"125",0,"Quas"
"126",1,"Hauntzer"
"127",1,"Flaresz"
"128",1,"CaliTrlolz8"
"129",0,"Hauntzer"
"130",1,"ZionSpartan"
"131",0,"Flaresz"
"132",0,"Quas"
"133",0,"Impact"
"134",1,"Quas"
"135",1,"Dyrus"
"136",1,"Balls"
"137",1,"Gamsu"
"138",1,"Hauntzer"
"139",1,"Impact"
"140",1,"Dyrus"
"141",1,"Seraph"
"142",1,"CaliTrlolz8"
"143",1,"Impact"
"144",0,"Seraph"
"145",0,"Balls"
"146",0,"ZionSpartan"
"147",1,"Gamsu"
"148",1,"Flaresz"
"149",0,"ZionSpartan"
"150",0,"Dyrus"
"151",0,"Gamsu"
"152",1,"CaliTrlolz8"
"153",1,"Quas"
"154",0,"Flaresz"
"155",1,"Hauntzer"
"156",1,"CaliTrlolz8"
"157",1,"Impact"
"158",0,"Flaresz"
"159",1,"Balls"
"160",0,"Dyrus"
"161",1,"Impact"
"162",1,"ZionSpartan"
"163",1,"Balls"
"164",1,"Impact"
"165",1,"ZionSpartan"
"166",0,"Hauntzer"
"167",0,"Seraph"
"168",1,"Quas"
"169",0,"Balls"
"170",0,"Gamsu"
"171",0,"Seraph"
"172",0,"CaliTrlolz8"
"173",0,"CaliTrlolz8"
"174",0,"Gamsu"
"175",0,"Hauntzer"
"176",0,"Flaresz"
"177",1,"Seraph"
"178",0,"Flaresz"
"179",1,"ZionSpartan"
"180",0,"Dyrus"
"181",0,"Hauntzer"
"182",1,"Quas"
"183",0,"CaliTrlolz8"
"184",1,"Impact"
"185",1,"Quas"
"186",0,"ZionSpartan"
"187",1,"Quas"
"188",0,"ZionSpartan"
"189",1,"Impact"
"190",1,"Hauntzer"
"191",0,"Hauntzer"
"192",0,"Hauntzer"
"193",0,"Balls"
"194",1,"Quas"
"195",1,"Balls"
"196",0,"Quas"
"197",1,"Balls"
"198",0,"Dyrus"
"199",0,"Impact"
"200",0,"Impact"
"201",0,"Impact"
"202",1,"Impact"
"203",1,"Quas"
"204",0,"Quas"
"205",1,"Quas"
"206",0,"Impact"
"207",0,"Dyrus"
"208",0,"Balls"
"209",1,"Dyrus"
"210",0,"Balls"
"211",1,"Impact"
"212",0,"Gamsu"
"213",1,"Impact"
"214",0,"Hauntzer"
"215",1,"Hauntzer"
"216",1,"Dyrus"
"217",0,"Hauntzer"
"218",1,"ZionSpartan"
"219",0,"Impact"
"220",1,"ZionSpartan"
"221",0,"Quas"
"222",1,"Dyrus"
"223",1,"Quas"
"224",1,"Dyrus"
"225",1,"Quas"
"226",1,"Impact"
"227",1,"Quas"
"228",0,"Impact"
"229",1,"ZionSpartan"
"230",0,"Dyrus"
"231",1,"ZionSpartan"
"232",0,"Balls"
"233",0,"Balls"
"234",1,"Balls"
"235",1,"Balls"
"236",1,"Balls"
"237",1,"Impact"
"238",0,"Balls"
"239",0,"Impact"
"240",1,"Balls"
"241",0,"Impact"
"242",0,"Quas"
"243",0,"Balls"
"244",0,"Quas"
"245",1,"Balls"
"246",0,"Hauntzer"
"247",0,"Balls"
